2022-03-04 20:12:55.231390,2022-03-04 20:12:55.231390,51
2022-03-04 20:12:55.242219,2022-03-04 20:12:55.242218,51
2022-03-04 20:12:55.252819,2022-03-04 20:12:55.252819,13
2022-03-04 20:12:55.263829,2022-03-04 20:12:55.263828,10
2022-03-04 20:12:55.274371,2022-03-04 20:12:55.274371,51
2022-03-04 20:12:55.284883,2022-03-04 20:12:55.284883,53
2022-03-04 20:12:55.295613,2022-03-04 20:12:55.295612,13
2022-03-04 20:12:55.306464,2022-03-04 20:12:55.306464,10
2022-03-04 20:12:55.317474,2022-03-04 20:12:55.317474,51
2022-03-04 20:12:55.327983,2022-03-04 20:12:55.327983,53
2022-03-04 20:12:55.338993,2022-03-04 20:12:55.338992,13
2022-03-04 20:12:55.349503,2022-03-04 20:12:55.349502,10
2022-03-04 20:12:55.360508,2022-03-04 20:12:55.360508,51
2022-03-04 20:12:55.371018,2022-03-04 20:12:55.371017,53
2022-03-04 20:12:55.381609,2022-03-04 20:12:55.381608,13
2022-03-04 20:12:55.392118,2022-03-04 20:12:55.392117,10
2022-03-04 20:12:55.402635,2022-03-04 20:12:55.402634,51
2022-03-04 20:12:55.414131,2022-03-04 20:12:55.414131,53
2022-03-04 20:12:55.424638,2022-03-04 20:12:55.424638,13
2022-03-04 20:12:55.435147,2022-03-04 20:12:55.435146,10
2022-03-04 20:12:55.445657,2022-03-04 20:12:55.445657,51
2022-03-04 20:12:55.456165,2022-03-04 20:12:55.456165,53
2022-03-04 20:12:55.466674,2022-03-04 20:12:55.466674,13
2022-03-04 20:12:55.477178,2022-03-04 20:12:55.477177,10
2022-03-04 20:12:55.488179,2022-03-04 20:12:55.488179,51
2022-03-04 20:12:55.499131,2022-03-04 20:12:55.499130,54
2022-03-04 20:12:55.509640,2022-03-04 20:12:55.509639,13
2022-03-04 20:12:55.521056,2022-03-04 20:12:55.521055,10
2022-03-04 20:12:55.531565,2022-03-04 20:12:55.531564,51
2022-03-04 20:12:55.542066,2022-03-04 20:12:55.542065,54
2022-03-04 20:12:55.552575,2022-03-04 20:12:55.552574,13
2022-03-04 20:12:55.563081,2022-03-04 20:12:55.563081,10
2022-03-04 20:12:55.573591,2022-03-04 20:12:55.573590,51
2022-03-04 20:12:55.584105,2022-03-04 20:12:55.584105,53
2022-03-04 20:12:55.594615,2022-03-04 20:12:55.594614,13
2022-03-04 20:12:55.605122,2022-03-04 20:12:55.605122,10
2022-03-04 20:12:55.615631,2022-03-04 20:12:55.615631,51
2022-03-04 20:12:55.626641,2022-03-04 20:12:55.626640,54
2022-03-04 20:12:55.637151,2022-03-04 20:12:55.637150,13
2022-03-04 20:12:55.647659,2022-03-04 20:12:55.647659,10
2022-03-04 20:12:55.658237,2022-03-04 20:12:55.658237,51
2022-03-04 20:12:55.668742,2022-03-04 20:12:55.668742,54
2022-03-04 20:12:55.679244,2022-03-04 20:12:55.679243,13
2022-03-04 20:12:55.689752,2022-03-04 20:12:55.689752,10
2022-03-04 20:12:55.700747,2022-03-04 20:12:55.700747,51
2022-03-04 20:12:55.711262,2022-03-04 20:12:55.711261,54
2022-03-04 20:12:55.721767,2022-03-04 20:12:55.721767,13
2022-03-04 20:12:55.732276,2022-03-04 20:12:55.732276,10
2022-03-04 20:12:55.742962,2022-03-04 20:12:55.742962,51
2022-03-04 20:12:55.753470,2022-03-04 20:12:55.753470,54
2022-03-04 20:12:55.763978,2022-03-04 20:12:55.763978,13
2022-03-04 20:12:55.774487,2022-03-04 20:12:55.774487,10
2022-03-04 20:12:55.784996,2022-03-04 20:12:55.784996,51
2022-03-04 20:12:55.795505,2022-03-04 20:12:55.795505,53
2022-03-04 20:12:55.806015,2022-03-04 20:12:55.806014,13
2022-03-04 20:12:55.816530,2022-03-04 20:12:55.816529,10
2022-03-04 20:12:55.827529,2022-03-04 20:12:55.827529,51
2022-03-04 20:12:55.838033,2022-03-04 20:12:55.838032,54
2022-03-04 20:12:55.848543,2022-03-04 20:12:55.848542,13
2022-03-04 20:12:55.859535,2022-03-04 20:12:55.859534,10
2022-03-04 20:12:55.870042,2022-03-04 20:12:55.870042,51
2022-03-04 20:12:55.880545,2022-03-04 20:12:55.880545,54
2022-03-04 20:12:55.891536,2022-03-04 20:12:55.891536,13
2022-03-04 20:12:55.902046,2022-03-04 20:12:55.902045,10
2022-03-04 20:12:55.912555,2022-03-04 20:12:55.912554,51
2022-03-04 20:12:55.923063,2022-03-04 20:12:55.923063,55
2022-03-04 20:12:55.934072,2022-03-04 20:12:55.934072,13
2022-03-04 20:12:55.945053,2022-03-04 20:12:55.945053,10
2022-03-04 20:12:55.955591,2022-03-04 20:12:55.955591,51
2022-03-04 20:12:55.966100,2022-03-04 20:12:55.966100,54
2022-03-04 20:12:55.976609,2022-03-04 20:12:55.976609,13
2022-03-04 20:12:55.987119,2022-03-04 20:12:55.987118,10
2022-03-04 20:12:55.997785,2022-03-04 20:12:55.997785,51
2022-03-04 20:12:56.008294,2022-03-04 20:12:56.008293,54
2022-03-04 20:12:56.018803,2022-03-04 20:12:56.018802,13
2022-03-04 20:12:56.029312,2022-03-04 20:12:56.029311,10
2022-03-04 20:12:56.039821,2022-03-04 20:12:56.039821,51
2022-03-04 20:12:56.050331,2022-03-04 20:12:56.050330,55
2022-03-04 20:12:56.061024,2022-03-04 20:12:56.061024,13
2022-03-04 20:12:56.071533,2022-03-04 20:12:56.071533,10
2022-03-04 20:12:56.082547,2022-03-04 20:12:56.082547,51
2022-03-04 20:12:56.093056,2022-03-04 20:12:56.093056,55
2022-03-04 20:12:56.103561,2022-03-04 20:12:56.103560,13
2022-03-04 20:12:56.114069,2022-03-04 20:12:56.114069,10
2022-03-04 20:12:56.124579,2022-03-04 20:12:56.124579,51
2022-03-04 20:12:56.135084,2022-03-04 20:12:56.135083,54
2022-03-04 20:12:56.145594,2022-03-04 20:12:56.145594,13
2022-03-04 20:12:56.156098,2022-03-04 20:12:56.156098,10
2022-03-04 20:12:56.167108,2022-03-04 20:12:56.167107,51
2022-03-04 20:12:56.177617,2022-03-04 20:12:56.177616,55
2022-03-04 20:12:56.188121,2022-03-04 20:12:56.188120,13
2022-03-04 20:12:56.198626,2022-03-04 20:12:56.198626,10
2022-03-04 20:12:56.209137,2022-03-04 20:12:56.209137,51
2022-03-04 20:12:56.219646,2022-03-04 20:12:56.219646,54
2022-03-04 20:12:56.230655,2022-03-04 20:12:56.230655,13
2022-03-04 20:12:56.241158,2022-03-04 20:12:56.241158,10
2022-03-04 20:12:56.251667,2022-03-04 20:12:56.251667,51
2022-03-04 20:12:56.262177,2022-03-04 20:12:56.262176,54
2022-03-04 20:12:56.272686,2022-03-04 20:12:56.272685,13
2022-03-04 20:12:56.283195,2022-03-04 20:12:56.283194,10
2022-03-04 20:12:56.294094,2022-03-04 20:12:56.294093,51
2022-03-04 20:12:56.304713,2022-03-04 20:12:56.304713,54
2022-03-04 20:12:56.315222,2022-03-04 20:12:56.315222,13
2022-03-04 20:12:56.325732,2022-03-04 20:12:56.325732,10
2022-03-04 20:12:56.336742,2022-03-04 20:12:56.336741,51
2022-03-04 20:12:56.347247,2022-03-04 20:12:56.347246,55
2022-03-04 20:12:56.357884,2022-03-04 20:12:56.357884,13
2022-03-04 20:12:56.368395,2022-03-04 20:12:56.368394,10
2022-03-04 20:12:56.378899,2022-03-04 20:12:56.378899,51
